sun.net.smtp.SmtpClient#closeServer()->void:::issue the QUIT command to the SMTP server and close the connection.
sun.net.smtp.SmtpClient#issueCommand(String, int)->void::: smtp client issue command
sun.net.smtp.SmtpClient#to(String)->void::: smtp client to
sun.net.smtp.SmtpClient#from(String)->void::: smtp client from
sun.net.smtp.SmtpClient#startMessage()->PrintStream::: smtp client start message
sun.net.smtp.SmtpClient#closeMessage()->void::: smtp client close message
sun.net.smtp.SmtpClient#getMailHost()->String::: smtp client get mail host
sun.net.smtp.SmtpClient#getEncoding()->String::: smtp client get encoding
sun.net.smtp.SmtpPrintStream#close()->void::: smtp print stream close
sun.net.smtp.SmtpPrintStream#write(int)->void::: smtp print stream write
sun.net.smtp.SmtpPrintStream#write(byte[], int, int)->void::: smtp print stream write
sun.net.smtp.SmtpPrintStream#print(String)->void::: smtp print stream print
