sun.jvmstat.perfdata.monitor.protocol.file.FileMonitoredVm#addVmListener(VmListener)->void::: file monitored vm add vm listener
sun.jvmstat.perfdata.monitor.protocol.file.FileMonitoredVm#removeVmListener(VmListener)->void::: file monitored vm remove vm listener
sun.jvmstat.perfdata.monitor.protocol.file.MonitoredHostFileService#getMonitoredHost(HostIdentifier)->MonitoredHost::: monitored host file service get monitored host
sun.jvmstat.perfdata.monitor.protocol.file.MonitoredHostFileService#getScheme()->String::: monitored host file service get scheme
sun.jvmstat.perfdata.monitor.protocol.file.MonitoredHostProvider#getMonitoredVm(VmIdentifier)->MonitoredVm::: monitored host provider get monitored vm
sun.jvmstat.perfdata.monitor.protocol.file.MonitoredHostProvider#getMonitoredVm(VmIdentifier, int)->MonitoredVm::: monitored host provider get monitored vm
sun.jvmstat.perfdata.monitor.protocol.file.MonitoredHostProvider#detach(MonitoredVm)->void::: monitored host provider detach
sun.jvmstat.perfdata.monitor.protocol.file.MonitoredHostProvider#addHostListener(HostListener)->void::: monitored host provider add host listener
sun.jvmstat.perfdata.monitor.protocol.file.MonitoredHostProvider#removeHostListener(HostListener)->void::: monitored host provider remove host listener
sun.jvmstat.perfdata.monitor.protocol.file.MonitoredHostProvider#activeVms()->Set::: monitored host provider active vms
